Entity	Annotation	Status	Provenance
http://d-nb.info/gnd/124871135	Error	ER	page
http://datos.bne.es/resource/XX1035080	Piñeyro, Marcelo (1953-)	OK	page
http://viaf.org/viaf/57557288	Piñeyro, Marcelo (1953-)	OK	page
http://dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	page
http://dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	page
http://de.dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	ER	url
http://es.dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	url
http://fr.dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	url
http://gl.dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	url
http://mpii.de/yago/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	url
http://pl.dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	url
http://pt.dbpedia.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	url
http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000f3f4a5	Error	ER	url
http://rdf.freebase.com/ns/m.0h7y55	Error	ER	url
http://rdf.freebase.com/ns/m/0h7y55	Error	ER	url
http://ru.dbpedia.org/resource/Пиньейро,_Марсело	Piñeyro, Marcelo (1953-)	ER	url
http://wikidata.dbpedia.org/resource/Q1388674	Error	ER	url
http://wikidata.org/entity/Q1388674	Piñeyro, Marcelo (1953-)	OK	page
http://www.wikidata.org/entity/Q1388674	Piñeyro, Marcelo (1953-)	OK	page
http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	ER	url
http://yago-knowledge.org/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	OK	page
http://dbpedia.org/resource/Marcelo_Pineyro	Piñeyro, Marcelo (1953-)	OK	page
http://mpii.de/yago/resource/Marcelo_Piñeyro	Piñeyro, Marcelo (1953-)	ER	url
http://de.dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	ER	url
http://es.dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	page
http://fr.dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	page
http://gl.dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	page
http://pl.dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	page
http://pt.dbpedia.org/resource/Marcelo_Pi%C3%B1eyro	Piñeyro, Marcelo (1953-)	OK	page
http://ru.dbpedia.org/resource/%D0%9F%D0%B8%D0%BD%D1%8C%D0%B5%D0%B9%D1%80%D0%BE,_%D0%9C%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D0%BE	Piñeyro, Marcelo (1953-)	ER	url
