SUBJECT,OBJECT
http://ar.dbpedia.org/resource/%D8%A8%D8%B7%D9%88%D9%84%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85_%D9%84%D8%B3%D8%A8%D8%A7%D9%82%D8%A7%D8%AA_%D8%A7%D9%84%D9%81%D9%88%D8%B1%D9%85%D9%88%D9%84%D8%A7_%D9%88%D8%A7%D8%AD%D8%AF_%D9%85%D9%88%D8%B3%D9%85_2012,http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012
http://ar.dbpedia.org/resource/%D8%AC%D8%A7%D8%A6%D8%B2%D8%A9_%D8%A3%D8%A8%D9%88_%D8%B8%D8%A8%D9%8A_%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89_2012,http://ar.dbpedia.org/resource/جائزة_أبو_ظبي_الكبرى_2012
http://ar.dbpedia.org/resource/%D8%AC%D8%A7%D8%A6%D8%B2%D8%A9_%D8%A7%D9%84%D9%87%D9%86%D8%AF_%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89_2012,http://ar.dbpedia.org/resource/جائزة_الهند_الكبرى_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://bg.dbpedia.org/resource/Световен_шампионат_на_Формула_1_(2012)
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://br.dbpedia.org/resource/Kevezadeg_bed_ar_Formulenn_1_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://bs.dbpedia.org/resource/Formula_1_-_sezona_2012.
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://bs.dbpedia.org/resource/Formula_1_sezona_2012.
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://ca.dbpedia.org/resource/Temporada_2012_de_Fórmula_1
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://cs.dbpedia.org/resource/Formule_1_v_roce_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://da.dbpedia.org/resource/Formel_1_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://dbpedia.org/resource/2012_Formula_One_season
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://de.dbpedia.org/resource/Formel-1-Saison_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://de.dbpedia.org/resource/Formel-1-Weltmeisterschaft_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://el.dbpedia.org/resource/Παγκόσμιο_πρωτάθλημα_Φόρμουλα_1_(2012)
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://es.dbpedia.org/resource/Temporada_2012_de_Fórmula_1
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://et.dbpedia.org/resource/2012._aasta_Vormel_1_hooaeg
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://fi.dbpedia.org/resource/Formula_1_-kausi_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://fr.dbpedia.org/resource/Championnat_du_monde_de_Formule_1_2012
http://ar.dbpedia.org/resource/بطولة_العالم_لسباقات_الفورمولا_واحد_موسم_2012,http://gl.dbpedia.org/resource/Campionato_Mundial_de_Fórmula_1_de_2012
