SUBJECT,OBJECT
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://an.dbpedia.org/resource/Loís_XIV_de_Francia
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ar.dbpedia.org/resource/لويس_الرابع_عشر_ملك_فرنسا
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://arz.dbpedia.org/resource/لويس_الاربعتاشر_ملك_فرنسا
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://bat-smg.dbpedia.org/resource/Liodvėks_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://be-x-old.dbpedia.org/resource/Людовік_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://be.dbpedia.org/resource/Людовік_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://bg.dbpedia.org/resource/Луи_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://br.dbpedia.org/resource/Loeiz_XIV_(Bro-C'hall)
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,"http://bs.dbpedia.org/resource/Luj_XIV,_kralj_Francuske"
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ca.dbpedia.org/resource/Lluís_XIV_de_França
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://cs.dbpedia.org/resource/Ludvík_XIV.
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,"http://cy.dbpedia.org/resource/Louis_XIV,_brenin_Ffrainc"
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://da.dbpedia.org/resource/Ludvig_14._af_Frankrig
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://dbpedia.org/resource/Louis_XIV_of_France
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://de.dbpedia.org/resource/Ludwig_XIV.
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://el.dbpedia.org/resource/Λουδοβίκος_ΙΔ΄_της_Γαλλίας
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://eo.dbpedia.org/resource/Ludoviko_la_14-a_(Francio)
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://es.dbpedia.org/resource/Luis_XIV_de_Francia
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://et.dbpedia.org/resource/Louis_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://eu.dbpedia.org/resource/Luis_XIV.a_Frantziakoa
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://fa.dbpedia.org/resource/لوئی_چهاردهم
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://fi.dbpedia.org/resource/Ludvig_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://fr.dbpedia.org/resource/Louis_XIV_de_France
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://fy.dbpedia.org/resource/Loadewyk_XIV_fan_Frankryk
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ga.dbpedia.org/resource/Louis_XIV_na_Fraince
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://gl.dbpedia.org/resource/Luís_XIV_de_Francia
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,"http://he.dbpedia.org/resource/לואי_הארבעה_עשר,_מלך_צרפת"
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://hif.dbpedia.org/resource/Louis_XIV_of_France
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,"http://hr.dbpedia.org/resource/Luj_XIV.,_kralj_Francuske"
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://hu.dbpedia.org/resource/XIV._Lajos_francia_király
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://hy.dbpedia.org/resource/Լյուդովիկոս_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://id.dbpedia.org/resource/Louis_XIV_dari_Perancis
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://io.dbpedia.org/resource/Louis_14ma
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://is.dbpedia.org/resource/Loðvík_14.
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://it.dbpedia.org/resource/Luigi_XIV_di_Francia
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ja.dbpedia.org/resource/ルイ14世_(フランス王)
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://jv.dbpedia.org/resource/Louis_XIV_saka_Prancis
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ka.dbpedia.org/resource/ლუი_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ka.dbpedia.org/resource/ლუი_XIV_(საფრანგეთი)
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ko.dbpedia.org/resource/루이_14세
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ku.dbpedia.org/resource/Louis_XIV.
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://la.dbpedia.org/resource/Ludovicus_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://lb.dbpedia.org/resource/Louis_XIV._vu_Frankräich
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://lt.dbpedia.org/resource/Liudvikas_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://lv.dbpedia.org/resource/Luijs_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://mk.dbpedia.org/resource/Луј_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ml.dbpedia.org/resource/ലൂയി_പതിനാലാമൻ
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,"http://mr.dbpedia.org/resource/चौदावा_लुई,_फ्रान्स"
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ms.dbpedia.org/resource/Louis_XIV_dari_Perancis
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://nds.dbpedia.org/resource/Ludwig_XIV.
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://nl.dbpedia.org/resource/Lodewijk_XIV_van_Frankrijk
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://nn.dbpedia.org/resource/Ludvig_XIV_av_Frankrike
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://no.dbpedia.org/resource/Ludvig_XIV_av_Frankrike
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://oc.dbpedia.org/resource/Loís_XIV_de_França
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://pl.dbpedia.org/resource/Ludwik_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://pms.dbpedia.org/resource/Luis_XIV_ëd_Fransa
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://pnb.dbpedia.org/resource/لوئی_چودواں
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://pt.dbpedia.org/resource/Luís_XIV_de_França
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://qu.dbpedia.org/resource/Louis_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ro.dbpedia.org/resource/Ludovic_al_XIV-lea_al_Franței
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ru.dbpedia.org/resource/Людовик_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://scn.dbpedia.org/resource/Luiggi_XIV_di_Francia
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sh.dbpedia.org/resource/Luj_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://simple.dbpedia.org/resource/Louis_XIV_of_France
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sk.dbpedia.org/resource/Ľudovít_XIV.
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sl.dbpedia.org/resource/Ludvik_XIV._Francoski
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sq.dbpedia.org/resource/Luigji_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sr.dbpedia.org/resource/Луј_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sv.dbpedia.org/resource/Ludvig_XIV_av_Frankrike
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://sw.dbpedia.org/resource/Louis_XIV_wa_Ufaransa
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ta.dbpedia.org/resource/பிரான்சின்_பதினான்காம்_லூயி
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://th.dbpedia.org/resource/พระเจ้าหลุยส์ที่_14_แห่งฝรั่งเศส
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://tl.dbpedia.org/resource/Louis_XIV_ng_Pransiya
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://tl.dbpedia.org/resource/Louis_XIV_ng_Pransya
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://tr.dbpedia.org/resource/XIV._Louis
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://uk.dbpedia.org/resource/Людовик_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://uk.dbpedia.org/resource/Людовик_XIV_(король_Франції)
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://ur.dbpedia.org/resource/لوئی_چودہواں
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://uz.dbpedia.org/resource/Lyudovik_XIV
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://vi.dbpedia.org/resource/Louis_XIV_của_Pháp
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://war.dbpedia.org/resource/Louis_XIV_han_Fransya
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://www.wikidata.org/entity/Q7742
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://yi.dbpedia.org/resource/לואי_דער_פערצנטער
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://yo.dbpedia.org/resource/Louis_14k_ilẹ̀_Fránsì
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://zh-yue.dbpedia.org/resource/路易十四世
http://af.dbpedia.org/resource/Lodewyk_XIV_van_Frankryk,http://zh.dbpedia.org/resource/路易十四
http://af.dbpedia.org/resource/Lodewyk_XVI_van_Frankryk,http://dbpedia.org/resource/Louis_XVI_of_France
http://als.dbpedia.org/resource/Ludwig_XIV.,http://dbpedia.org/resource/Louis_XIV_of_France
http://als.dbpedia.org/resource/Ludwig_XVI.,http://an.dbpedia.org/resource/Loís_XVI_de_Francia
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ar.dbpedia.org/resource/لويس_السادس_عشر_ملك_فرنسا
http://als.dbpedia.org/resource/Ludwig_XVI.,http://arz.dbpedia.org/resource/لويس_الستاشر
http://als.dbpedia.org/resource/Ludwig_XVI.,http://be-x-old.dbpedia.org/resource/Людовік_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://be.dbpedia.org/resource/Людовік_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://bg.dbpedia.org/resource/Луи_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://br.dbpedia.org/resource/Loeiz_XVI_(Bro-C'hall)
http://als.dbpedia.org/resource/Ludwig_XVI.,"http://bs.dbpedia.org/resource/Luj_XVI,_kralj_Francuske"
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ca.dbpedia.org/resource/Lluís_XVI_de_França
http://als.dbpedia.org/resource/Ludwig_XVI.,http://cs.dbpedia.org/resource/Ludvík_XVI.
http://als.dbpedia.org/resource/Ludwig_XVI.,"http://cy.dbpedia.org/resource/Louis_XVI,_brenin_Ffrainc"
http://als.dbpedia.org/resource/Ludwig_XVI.,http://da.dbpedia.org/resource/Ludvig_16._af_Frankrig
http://als.dbpedia.org/resource/Ludwig_XVI.,http://dbpedia.org/resource/Louis_XVI_of_France
http://als.dbpedia.org/resource/Ludwig_XVI.,http://de.dbpedia.org/resource/Ludwig_XVI.
http://als.dbpedia.org/resource/Ludwig_XVI.,http://el.dbpedia.org/resource/Λουδοβίκος_ΙΣΤ΄_της_Γαλλίας
http://als.dbpedia.org/resource/Ludwig_XVI.,http://eo.dbpedia.org/resource/Ludoviko_la_16-a_(Francio)
http://als.dbpedia.org/resource/Ludwig_XVI.,http://es.dbpedia.org/resource/Luis_XVI_de_Francia
http://als.dbpedia.org/resource/Ludwig_XVI.,http://et.dbpedia.org/resource/Louis_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://eu.dbpedia.org/resource/Luis_XVI.a_Frantziakoa
http://als.dbpedia.org/resource/Ludwig_XVI.,http://fa.dbpedia.org/resource/لوئی_شانزدهم
http://als.dbpedia.org/resource/Ludwig_XVI.,http://fi.dbpedia.org/resource/Ludvig_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://fr.dbpedia.org/resource/Louis_XVI_de_France
http://als.dbpedia.org/resource/Ludwig_XVI.,http://fy.dbpedia.org/resource/Loadewyk_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ga.dbpedia.org/resource/Louis_XVI_na_Fraince
http://als.dbpedia.org/resource/Ludwig_XVI.,http://gl.dbpedia.org/resource/Luís_XVI_de_Francia
http://als.dbpedia.org/resource/Ludwig_XVI.,"http://he.dbpedia.org/resource/לואי_השישה_עשר,_מלך_צרפת"
http://als.dbpedia.org/resource/Ludwig_XVI.,"http://hr.dbpedia.org/resource/Luj_XVI.,_kralj_Francuske"
http://als.dbpedia.org/resource/Ludwig_XVI.,http://hu.dbpedia.org/resource/XVI._Lajos_francia_király
http://als.dbpedia.org/resource/Ludwig_XVI.,http://id.dbpedia.org/resource/Louis_XVI_dari_Perancis
http://als.dbpedia.org/resource/Ludwig_XVI.,http://io.dbpedia.org/resource/Louis_16ma
http://als.dbpedia.org/resource/Ludwig_XVI.,http://is.dbpedia.org/resource/Loðvík_16.
http://als.dbpedia.org/resource/Ludwig_XVI.,http://it.dbpedia.org/resource/Luigi_XVI_di_Francia
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ja.dbpedia.org/resource/ルイ16世_(フランス王)
http://als.dbpedia.org/resource/Ludwig_XVI.,http://jv.dbpedia.org/resource/Louis_XVI_saking_Prancis
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ka.dbpedia.org/resource/ლუი_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ka.dbpedia.org/resource/ლუი_XVI_(საფრანგეთი)
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ko.dbpedia.org/resource/루이_16세
http://als.dbpedia.org/resource/Ludwig_XVI.,http://la.dbpedia.org/resource/Ludovicus_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://lb.dbpedia.org/resource/Louis_XVI._vu_Frankräich
http://als.dbpedia.org/resource/Ludwig_XVI.,http://lmo.dbpedia.org/resource/Luis_XVI_de_Francia
http://als.dbpedia.org/resource/Ludwig_XVI.,http://lt.dbpedia.org/resource/Liudvikas_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://lv.dbpedia.org/resource/Luijs_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://mk.dbpedia.org/resource/Луј_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,"http://mr.dbpedia.org/resource/सोळावा_लुई,_फ्रान्स"
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ms.dbpedia.org/resource/Louis_XVI_dari_Perancis
http://als.dbpedia.org/resource/Ludwig_XVI.,http://mzn.dbpedia.org/resource/لویی_شونزهم
http://als.dbpedia.org/resource/Ludwig_XVI.,http://nl.dbpedia.org/resource/Lodewijk_XVI_van_Frankrijk
http://als.dbpedia.org/resource/Ludwig_XVI.,http://nn.dbpedia.org/resource/Ludvig_XVI_av_Frankrike
http://als.dbpedia.org/resource/Ludwig_XVI.,http://no.dbpedia.org/resource/Ludvig_XVI_av_Frankrike
http://als.dbpedia.org/resource/Ludwig_XVI.,http://oc.dbpedia.org/resource/Loís_XVI_de_França
http://als.dbpedia.org/resource/Ludwig_XVI.,http://pl.dbpedia.org/resource/Ludwik_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://pnb.dbpedia.org/resource/لوئی_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://pt.dbpedia.org/resource/Luís_XVI_de_França
http://als.dbpedia.org/resource/Ludwig_XVI.,http://qu.dbpedia.org/resource/Louis_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ro.dbpedia.org/resource/Ludovic_al_XVI-lea_al_Franței
http://als.dbpedia.org/resource/Ludwig_XVI.,http://ru.dbpedia.org/resource/Людовик_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://scn.dbpedia.org/resource/Luiggi_XVI
http://als.dbpedia.org/resource/Ludwig_XVI.,http://sh.dbpedia.org/resource/Luj_XVI
