Entity	Annotation
http://ar.dbpedia.org/resource/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%A3%D9%84%D8%B9%D8%A7%D8%A8_%D9%81%D9%8A%D8%AF%D9%8A%D9%88_1983	Error
http://ar.dbpedia.org/resource/تصنيف:ألعاب_فيديو_1983	Error
http://cs.dbpedia.org/resource/Kategorie:Hry_roku_1983	Uncertain
http://dbpedia.org/resource/Category:1983_video_games	1983_video_games
http://de.dbpedia.org/resource/Kategorie:Computerspiel_1983	Error
http://es.dbpedia.org/resource/Categoría:Videojuegos_de_1983	1983_video_games
http://fr.dbpedia.org/resource/Catégorie:Jeu_vidéo_sorti_en_1983	1983_video_games
http://hu.dbpedia.org/resource/Kategória:1983_videojátékai	Error
http://id.dbpedia.org/resource/Kategori:Permainan_video_tahun_1983	1983_video_games
http://it.dbpedia.org/resource/Categoria:Videogiochi_del_1983	Error
http://ja.dbpedia.org/resource/Category:1983年のコンピュータゲーム	1983_video_games
http://ko.dbpedia.org/resource/분류:1983년_게임	1983_video_games
http://nl.dbpedia.org/resource/Categorie:Computerspel_uit_1983	Uncertain
http://pl.dbpedia.org/resource/Kategoria:1983_w_grach_komputerowych	Error
http://pt.dbpedia.org/resource/Categoria:Jogos_eletrônicos_de_1983	1983_video_games
http://ro.dbpedia.org/resource/Categorie:Jocuri_video_din_1983	Error
http://ru.dbpedia.org/resource/Категория:Компьютерные_игры_1983_года	Error
http://sv.dbpedia.org/resource/Kategori:Datorspel_1983	Uncertain
http://tr.dbpedia.org/resource/Kategori:1983_video_oyunları	Error
http://uk.dbpedia.org/resource/Категорія:Ігри_1983_року	Uncertain
http://www.wikidata.org/entity/Q6846312	Uncertain
http://zh.dbpedia.org/resource/Category:1983年电子游戏	Error
http://be-x-old.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D1%8D%D0%B3%D0%BE%D1%80%D1%8B%D1%8F:%D0%9A%D0%B0%D0%BC%D0%BF%D1%83%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D1%8F_%D0%B3%D1%83%D0%BB%D1%8C%D0%BD%D1%96_1983_%D0%B3%D0%BE%D0%B4%D1%83	Error
http://be-x-old.dbpedia.org/resource/Катэгорыя:Кампутарныя_гульні_1983_году	Error
http://da.dbpedia.org/resource/Kategori:Computerspil_fra_1983	Error
http://fa.dbpedia.org/resource/رده:بازی‌های_رایانه‌ای_۱۹۸۳_(میلادی)	Error
http://fi.dbpedia.org/resource/Luokka:Vuoden_1983_videopelit	Error
http://he.dbpedia.org/resource/קטגוריה:משחקי_וידאו_משנת_1983	Error
http://nn.dbpedia.org/resource/Kategori:Dataspel_frå_1983	Error
http://no.dbpedia.org/resource/Kategori:Videospill_fra_1983	Error
http://simple.dbpedia.org/resource/Category:1983_video_games	Error
http://www.wikidata.org/entity/Q6323274	1983_video_games
http://zh.dbpedia.org/resource/Category:1983年遊戲	Error
http://fa.dbpedia.org/resource/رده:بازی‌های_ویدئویی_۱۹۸۳_(میلادی)	Error
http://gl.dbpedia.org/resource/Categoría:Videoxogos_de_1983	1983_video_games
http://wikidata.dbpedia.org/resource/Q6323274	Error
http://wikidata.org/entity/Q6323274	1983_video_games
http://es.dbpedia.org/resource/Categor%C3%ADa:Videojuegos_de_1983	1983_video_games
http://fa.dbpedia.org/resource/%D8%B1%D8%AF%D9%87:%D8%A8%D8%A7%D8%B2%DB%8C%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87%E2%80%8C%D8%A7%DB%8C_%DB%B1%DB%B9%DB%B8%DB%B3_(%D9%85%DB%8C%D9%84%D8%A7%D8%AF%DB%8C)	Error
http://fr.dbpedia.org/resource/Cat%C3%A9gorie:Jeu_vid%C3%A9o_sorti_en_1983	1983_video_games
http://he.dbpedia.org/resource/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%94:%D7%9E%D7%A9%D7%97%D7%A7%D7%99_%D7%95%D7%99%D7%93%D7%90%D7%95_%D7%9E%D7%A9%D7%A0%D7%AA_1983	Error
http://hu.dbpedia.org/resource/Kateg%C3%B3ria:1983_videoj%C3%A1t%C3%A9kai	Error
http://ja.dbpedia.org/resource/Category:1983%E5%B9%B4%E3%81%AE%E3%82%B3%E3%83%B3%E3%83%94%E3%83%A5%E3%83%BC%E3%82%BF%E3%82%B2%E3%83%BC%E3%83%A0	1983_video_games
http://ko.dbpedia.org/resource/%EB%B6%84%EB%A5%98:1983%EB%85%84_%EA%B2%8C%EC%9E%84	1983_video_games
http://nn.dbpedia.org/resource/Kategori:Dataspel_fr%C3%A5_1983	Error
http://pt.dbpedia.org/resource/Categoria:Jogos_eletr%C3%B4nicos_de_1983	1983_video_games
http://ru.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%9A%D0%BE%D0%BC%D0%BF%D1%8C%D1%8E%D1%82%D0%B5%D1%80%D0%BD%D1%8B%D0%B5_%D0%B8%D0%B3%D1%80%D1%8B_1983_%D0%B3%D0%BE%D0%B4%D0%B0	Error
http://uk.dbpedia.org/resource/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D1%96%D1%8F:%D0%86%D0%B3%D1%80%D0%B8_1983_%D1%80%D0%BE%D0%BA%D1%83	Uncertain
http://zh.dbpedia.org/resource/Category:1983%E5%B9%B4%E7%94%B5%E5%AD%90%E6%B8%B8%E6%88%8F	Error
http://zh.dbpedia.org/resource/Category:1983%E5%B9%B4%E9%81%8A%E6%88%B2	Error
