Entity	Annotation	Status	Provenance
http://af.dbpedia.org/resource/Ster	Star	ER	Wikipedia
http://am.dbpedia.org/resource/ኮኮብ	Star	ER	Wikipedia
http://an.dbpedia.org/resource/Estrela	Star	ER	Wikipedia
http://ar.dbpedia.org/resource/نجم	Star	ER	Wikipedia
http://arz.dbpedia.org/resource/نجمه	Star	ER	Wikipedia
http://ast.dbpedia.org/resource/Estrella	Star	ER	Wikipedia
http://az.dbpedia.org/resource/Ulduz	Star	ER	Wikipedia
http://bat-smg.dbpedia.org/resource/Žvaiždie	Star	ER	Wikipedia
http://be-x-old.dbpedia.org/resource/Зорка	Star	ER	Wikipedia
http://be.dbpedia.org/resource/Зорка	Star	ER	Wikipedia
http://bg.dbpedia.org/resource/Звезда	Star	OK	Wikipedia
http://bn.dbpedia.org/resource/তারা	Star	ER	Wikipedia
http://br.dbpedia.org/resource/Steredenn	Star	ER	Wikipedia
http://bs.dbpedia.org/resource/Zvijezda	Star	ER	Wikipedia
http://ca.dbpedia.org/resource/Estrella	Star	OK	Page
http://ckb.dbpedia.org/resource/ئەستێرە	Star	ER	Wikipedia
http://cs.dbpedia.org/resource/Hvězda	Star	OK	Page
http://cv.dbpedia.org/resource/Çăлтăр	Uncertain	ER	Page
http://cy.dbpedia.org/resource/Seren	Star	ER	Wikipedia
http://da.dbpedia.org/resource/Stjerne	Star	ER	Wikipedia
http://dbpedia.org/resource/Star	Star	OK	Page
http://de.dbpedia.org/resource/Stern	Star	ER	Wikipedia
http://el.dbpedia.org/resource/Αστέρας	Star	OK	Page
http://eo.dbpedia.org/resource/Stelo	Star_MonetaryUnit	OK	Page
http://es.dbpedia.org/resource/Estrella	Star	OK	Page
http://et.dbpedia.org/resource/Täht_(astronoomia)	Star	ER	Wikipedia
http://eu.dbpedia.org/resource/Izar	Star	OK	Page
http://fa.dbpedia.org/resource/ستاره	Star	ER	Wikipedia
http://fi.dbpedia.org/resource/Tähti	Star	ER	Wikipedia
http://fr.dbpedia.org/resource/Étoile	Star	OK	Page
http://fy.dbpedia.org/resource/Stjer	Star	ER	Wikipedia
http://ga.dbpedia.org/resource/Réalta	Star	ER	Wikipedia
http://gd.dbpedia.org/resource/Reul	Star	ER	Wikipedia
http://gl.dbpedia.org/resource/Estrela_(astronomía)	Star	OK	Page
http://he.dbpedia.org/resource/כוכב	Star	ER	Wikipedia
http://hi.dbpedia.org/resource/तारा	Star	ER	Wikipedia
http://hif.dbpedia.org/resource/Tara	Star	ER	Wikipedia
http://hr.dbpedia.org/resource/Zvijezda	Star	ER	Wikipedia
http://ht.dbpedia.org/resource/Etwal	Star	ER	Wikipedia
http://hu.dbpedia.org/resource/Csillag	Star	ER	Wikipedia
http://hy.dbpedia.org/resource/Աստղ	Star	ER	Wikipedia
http://ia.dbpedia.org/resource/Stella	Star	ER	Wikipedia
http://id.dbpedia.org/resource/Bintang	Star	OK	Page
http://io.dbpedia.org/resource/Stelo	Star	ER	Wikipedia
http://is.dbpedia.org/resource/Sólstjarna	Star	ER	Wikipedia
http://it.dbpedia.org/resource/Stella	Star	ER	Wikipedia
http://ja.dbpedia.org/resource/恒星	Star	OK	Page
http://jv.dbpedia.org/resource/Lintang	Star	ER	Wikipedia
http://ka.dbpedia.org/resource/ვარსკვლავი	Star	ER	Wikipedia
http://kk.dbpedia.org/resource/Жұлдыз	Star	ER	Wikipedia
http://kn.dbpedia.org/resource/ನಕ್ಷತ್ರ	Star	ER	Wikipedia
http://ko.dbpedia.org/resource/항성	Star	OK	Page
http://ku.dbpedia.org/resource/Stêr	Star	ER	Wikipedia
http://la.dbpedia.org/resource/Stella	Star	ER	Wikipedia
http://lb.dbpedia.org/resource/Stär	Star	ER	Wikipedia
http://lmo.dbpedia.org/resource/Stela	Star	ER	Wikipedia
http://lt.dbpedia.org/resource/Žvaigždė	Star	ER	Wikipedia
http://lv.dbpedia.org/resource/Zvaigzne	Star	ER	Wikipedia
http://mg.dbpedia.org/resource/Kintana	Star	ER	Wikipedia
http://mk.dbpedia.org/resource/Ѕвезда	Star	ER	Wikipedia
http://ml.dbpedia.org/resource/നക്ഷത്രം	Star	ER	Wikipedia
http://mr.dbpedia.org/resource/तारा	Star	ER	Wikipedia
http://ms.dbpedia.org/resource/Bintang	Star	ER	Wikipedia
http://my.dbpedia.org/resource/ကြယ်	Star	ER	Wikipedia
http://mzn.dbpedia.org/resource/اساره	Star	ER	Wikipedia
http://nap.dbpedia.org/resource/Stella	Star	ER	Wikipedia
http://nds.dbpedia.org/resource/Steern_(Astronomie)	Star	ER	Wikipedia
http://ne.dbpedia.org/resource/तारा	Star	ER	Wikipedia
http://new.dbpedia.org/resource/नगु	Star	ER	Wikipedia
http://nl.dbpedia.org/resource/Ster_(hemellichaam)	Star	OK	Page
http://nn.dbpedia.org/resource/Stjerne	Star	ER	Wikipedia
http://no.dbpedia.org/resource/Stjerne	Star	ER	Wikipedia
http://oc.dbpedia.org/resource/Estela	Star	ER	Wikipedia
http://pl.dbpedia.org/resource/Gwiazda	Uncertain	OK	Page
http://pnb.dbpedia.org/resource/تارہ	Star	ER	Wikipedia
http://pt.dbpedia.org/resource/Estrela	Star	OK	Page
http://qu.dbpedia.org/resource/Quyllur	Star	ER	Wikipedia
http://ro.dbpedia.org/resource/Stea	Star	ER	Wikipedia
http://ru.dbpedia.org/resource/Звезда	Star	ER	Wikipedia
http://scn.dbpedia.org/resource/Stidda	Star	ER	Wikipedia
http://sco.dbpedia.org/resource/Starn	Star	ER	Wikipedia
http://sh.dbpedia.org/resource/Zvijezda	Star	ER	Wikipedia
http://simple.dbpedia.org/resource/Star	Star	ER	Wikipedia
http://sk.dbpedia.org/resource/Hviezda	Star	ER	Wikipedia
http://sl.dbpedia.org/resource/Zvezda	Star	ER	Wikipedia
http://sq.dbpedia.org/resource/Ylli	Star	ER	Wikipedia
http://sr.dbpedia.org/resource/Звезда	Star	ER	Wikipedia
http://su.dbpedia.org/resource/Béntang	Star	ER	Wikipedia
http://sv.dbpedia.org/resource/Stjärna	Star	OK	Wikipedia
http://sw.dbpedia.org/resource/Nyota	Star	ER	Wikipedia
http://ta.dbpedia.org/resource/விண்மீன்	Star	ER	Wikipedia
http://te.dbpedia.org/resource/నక్షత్రము_(ఖగోళ)	Star	ER	Wikipedia
http://tg.dbpedia.org/resource/Ситора	Star	ER	Wikipedia
http://th.dbpedia.org/resource/ดาวฤกษ์	Star	ER	Wikipedia
http://tl.dbpedia.org/resource/Bituin	Star	ER	Wikipedia
http://tr.dbpedia.org/resource/Yıldız	Star	ER	Wikipedia
http://tt.dbpedia.org/resource/Йолдыз	Star	ER	Wikipedia
http://uk.dbpedia.org/resource/Зоря	Star	OK	Wikipedia
http://ur.dbpedia.org/resource/ستارہ	Star	ER	Wikipedia
