Entity	Annotation	Status	Provenance	link
http://ar.dbpedia.org/resource/%D9%8A%D9%88%D9%85_%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%85				=hyperlink("http://ar.dbpedia.org/resource/%D9%8A%D9%88%D9%85_%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%85")
http://ar.dbpedia.org/resource/يوم_المعلم				=hyperlink("http://ar.dbpedia.org/resource/يوم_المعلم")
http://az.dbpedia.org/resource/Beynəlxalq_Müəllimlər_Günü				=hyperlink("http://az.dbpedia.org/resource/Beynəlxalq_Müəllimlər_Günü")
http://bg.dbpedia.org/resource/Ден_на_учителя				=hyperlink("http://bg.dbpedia.org/resource/Ден_на_учителя")
http://bn.dbpedia.org/resource/শিক্ষক_দিবস				=hyperlink("http://bn.dbpedia.org/resource/শিক্ষক_দিবস")
http://ca.dbpedia.org/resource/Dia_del_mestre				=hyperlink("http://ca.dbpedia.org/resource/Dia_del_mestre")
http://cs.dbpedia.org/resource/Den_učitelů				=hyperlink("http://cs.dbpedia.org/resource/Den_učitelů")
http://cv.dbpedia.org/resource/Вĕрентекен_кунĕ				=hyperlink("http://cv.dbpedia.org/resource/Вĕрентекен_кунĕ")
http://da.dbpedia.org/resource/Lærerdag				=hyperlink("http://da.dbpedia.org/resource/Lærerdag")
http://dbpedia.org/resource/Teachers'_Day				=hyperlink("http://dbpedia.org/resource/Teachers'_Day")
http://eo.dbpedia.org/resource/Tago_de_instruisto				=hyperlink("http://eo.dbpedia.org/resource/Tago_de_instruisto")
http://es.dbpedia.org/resource/Día_del_maestro				=hyperlink("http://es.dbpedia.org/resource/Día_del_maestro")
http://et.dbpedia.org/resource/Õpetajate_päev				=hyperlink("http://et.dbpedia.org/resource/Õpetajate_päev")
http://fa.dbpedia.org/resource/روز_معلم				=hyperlink("http://fa.dbpedia.org/resource/روز_معلم")
http://fr.dbpedia.org/resource/Fête_des_professeurs				=hyperlink("http://fr.dbpedia.org/resource/Fête_des_professeurs")
http://gu.dbpedia.org/resource/શિક્ષક_દિન				=hyperlink("http://gu.dbpedia.org/resource/શિક્ષક_દિન")
http://he.dbpedia.org/resource/יום_המורים				=hyperlink("http://he.dbpedia.org/resource/יום_המורים")
http://hi.dbpedia.org/resource/शिक्षक_दिवस				=hyperlink("http://hi.dbpedia.org/resource/शिक्षक_दिवस")
http://hu.dbpedia.org/resource/Tanárok_napja				=hyperlink("http://hu.dbpedia.org/resource/Tanárok_napja")
http://id.dbpedia.org/resource/Hari_Guru				=hyperlink("http://id.dbpedia.org/resource/Hari_Guru")
http://it.dbpedia.org/resource/Festa_degli_insegnanti				=hyperlink("http://it.dbpedia.org/resource/Festa_degli_insegnanti")
http://ja.dbpedia.org/resource/教師の日				=hyperlink("http://ja.dbpedia.org/resource/教師の日")
http://jv.dbpedia.org/resource/Dina_Guru				=hyperlink("http://jv.dbpedia.org/resource/Dina_Guru")
http://ko.dbpedia.org/resource/교사의_날				=hyperlink("http://ko.dbpedia.org/resource/교사의_날")
http://ml.dbpedia.org/resource/അദ്ധ്യാപകദിനം				=hyperlink("http://ml.dbpedia.org/resource/അദ്ധ്യാപകദിനം")
http://ms.dbpedia.org/resource/Hari_Guru				=hyperlink("http://ms.dbpedia.org/resource/Hari_Guru")
http://ne.dbpedia.org/resource/गुरूपूर्णिमा				=hyperlink("http://ne.dbpedia.org/resource/गुरूपूर्णिमा")
http://nn.dbpedia.org/resource/Lærardag				=hyperlink("http://nn.dbpedia.org/resource/Lærardag")
http://no.dbpedia.org/resource/Lærerdag				=hyperlink("http://no.dbpedia.org/resource/Lærerdag")
http://pl.dbpedia.org/resource/Dzień_Edukacji_Narodowej				=hyperlink("http://pl.dbpedia.org/resource/Dzień_Edukacji_Narodowej")
http://pt.dbpedia.org/resource/Dia_do_professor				=hyperlink("http://pt.dbpedia.org/resource/Dia_do_professor")
http://rdf.freebase.com/ns/m.02y11r				=hyperlink("http://rdf.freebase.com/ns/m.02y11r")
http://ro.dbpedia.org/resource/Ziua_profesorului				=hyperlink("http://ro.dbpedia.org/resource/Ziua_profesorului")
http://ru.dbpedia.org/resource/День_учителя				=hyperlink("http://ru.dbpedia.org/resource/День_учителя")
http://sq.dbpedia.org/resource/Dita_e_mësuesit				=hyperlink("http://sq.dbpedia.org/resource/Dita_e_mësuesit")
http://ta.dbpedia.org/resource/ஆசிரியர்_நாள்				=hyperlink("http://ta.dbpedia.org/resource/ஆசிரியர்_நாள்")
http://te.dbpedia.org/resource/ఉపాధ్యాయుల_దినోత్సవం				=hyperlink("http://te.dbpedia.org/resource/ఉపాధ్యాయుల_దినోత్సవం")
http://th.dbpedia.org/resource/วันครู				=hyperlink("http://th.dbpedia.org/resource/วันครู")
http://tr.dbpedia.org/resource/Öğretmenler_Günü				=hyperlink("http://tr.dbpedia.org/resource/Öğretmenler_Günü")
http://tt.dbpedia.org/resource/Укытучылар_көне				=hyperlink("http://tt.dbpedia.org/resource/Укытучылар_көне")
http://uk.dbpedia.org/resource/День_працівників_освіти				=hyperlink("http://uk.dbpedia.org/resource/День_працівників_освіти")
http://vi.dbpedia.org/resource/Ngày_Nhà_giáo				=hyperlink("http://vi.dbpedia.org/resource/Ngày_Nhà_giáo")
http://www.wikidata.org/entity/Q188888				=hyperlink("http://www.wikidata.org/entity/Q188888")
http://zh.dbpedia.org/resource/教师节				=hyperlink("http://zh.dbpedia.org/resource/教师节")
http://az.dbpedia.org/resource/Beyn%C9%99lxalq_M%C3%BC%C9%99lliml%C9%99r_G%C3%BCn%C3%BC				=hyperlink("http://az.dbpedia.org/resource/Beyn%C9%99lxalq_M%C3%BC%C9%99lliml%C9%99r_G%C3%BCn%C3%BC")
http://bg.dbpedia.org/resource/%D0%94%D0%B5%D0%BD_%D0%BD%D0%B0_%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8F				=hyperlink("http://bg.dbpedia.org/resource/%D0%94%D0%B5%D0%BD_%D0%BD%D0%B0_%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8F")
http://bn.dbpedia.org/resource/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%95_%E0%A6%A6%E0%A6%BF%E0%A6%AC%E0%A6%B8				=hyperlink("http://bn.dbpedia.org/resource/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%95_%E0%A6%A6%E0%A6%BF%E0%A6%AC%E0%A6%B8")
http://cs.dbpedia.org/resource/Den_u%C4%8Ditel%C5%AF				=hyperlink("http://cs.dbpedia.org/resource/Den_u%C4%8Ditel%C5%AF")
http://cv.dbpedia.org/resource/%D0%92%C4%95%D1%80%D0%B5%D0%BD%D1%82%D0%B5%D0%BA%D0%B5%D0%BD_%D0%BA%D1%83%D0%BD%C4%95				=hyperlink("http://cv.dbpedia.org/resource/%D0%92%C4%95%D1%80%D0%B5%D0%BD%D1%82%D0%B5%D0%BA%D0%B5%D0%BD_%D0%BA%D1%83%D0%BD%C4%95")
